iter	Passed	Remaining
0	1	118
1	2	113
2	3	101
3	3	90
4	4	88
5	5	85
6	6	85
7	7	82
8	8	82
9	8	80
10	9	79
11	10	78
12	11	79
13	12	77
14	13	76
15	14	75
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
